-DOCSTART- -X- -X- O

have VBP O O
disputed VBN O O
public JJ O O
record NN O O
items NNS O O
with IN O O
LexisNexis NNP O O
. . O O
response NN O O
was VBD O O
incomplete JJ O O
am VBP O O
victim NN O O
of IN O O
identity NN O O
theft NN O O
cards NNS O O
credit NN O O
card NN O O
number NN O O
SSN NNP O O
Driving NNP O O
license NN O O
details NNS O O
are VBP O O
here RB O O
"4556 7169 9272 3875" CRE O MSK
Name NNP O O
ANDREW NNP O O
AUDLEY NNP O O
6514845 DIL O MSK
6887536 SSN O MSK
.I NN O O
requested VBD O O
method NN O O
verification NN O O
procedure NN O O
used VBN O O
determine VB O O
accuracy NN O O
. . O O

Procedure NN O O
in IN O O
case NN O O
of IN O O
disputed VBN O O
accuracy NN O O
[ VBZ O O
U.S.C NNP O O
. . O O
] JJ O O
paragraph NN O O
B NNP O O
iii NN O O
notice NN O O
that IN O O
if IN O O
requested VBN O O
by IN O O
consumer NN O O
description NN O O
procedure NN O O
used VBN O O
determine VB O O
accuracy NN O O
completeness NN O O
information NN O O
shall MD O O
be VB O O
provided VBN O O
agency NN O O
including VBG O O
business NN O O
name NN O O
address NN O O
furnisher NN O O
information NN O O
contacted VBN O O
connection NN O O
with IN O O
such JJ O O
telephone NN O O
number NN O O
such JJ O O
furnisher.I NNS O O
have VBP O O
other JJ O O
names NNS O O
accounts VBZ O O
may MD O O
have VB O O
been VBN O O
confused VBN O O
personal JJ O O
credit NN O O
file NN O O
credit NN O O
card NN O O
"5378 9551 4830 2795" CRE O MSK
. . O O

. . O O
name NN O O
is VBZ O O
STEPHANIE NNP O O
SHERLOCK NNP O O
have VBP O O
attached VBN O O
copy NN O O
of IN O O
Driving VBG O O
license JJ O O
number NN O O
eebwng VBP O O
Social NNP O O
security NN O O
612-46-9671 SSN O MSK
. . O O

was VBD O O
credit NN O O
account NN O O
opened VBD O O
under IN O O
name NN O O
due JJ O O
identity NN O O
theft NN O O
. . O O
disputed VBD O O
information NN O O
with IN O O
SSN NNP O O
584-37-9848 SSN O MSK
DL NNP O O
No NNP O O
by IN O O
providing VBG O O
police NNS O O
reports NNS O O
affidavits NNS O O
successful JJ O O
in IN O O
having VBG O O
bureaus JJ O O
remove VB O O
incorrect JJ O O
However RB O O
Equifax NNP O O
refused VBD O O
look VB O O
at IN O O
information NN O O
sent VBD O O
automated VBN O O
response NN O O
that IN O O
could MD O O
not RB O O
be VB O O
verified VBN O O
which WDT O O
is VBZ O O
keeping VBG O O
account NN O O
on IN O O
credit NN O O
. . O O

On IN O O
593-70-7430 SSN O MSK
paid VBD O O
Wells NNP O O
Fargo NNP O O
Ba NNP O O
satisfy VB O O
full JJ O O
amount NN O O
owed VBN O O
Visa NNP O O
card NN O O
ending VBG O O
in IN O O
Exp NNP O O
date NN O O
. . O O
Immediately RB O O
after IN O O
bank NN O O
added VBD O O
additional JJ O O
which WDT O O
says VBZ O O
now RB O O
owe VBP O O
addition NN O O
fully RB O O
satisfied JJ O O
already RB O O
tendered VBD O O
. . O O

keep VBP O O
receiving VBG O O
phone NN O O
calls NNS O O
from IN O O
Portfolio NNP O O
Recovery NNP O O
even RB O O
though IN O O
telling VBG O O
that IN O O
are VBP O O
calling VBG O O
cellphone NN O O
want VBP O O
stop VB O O
at IN O O
number NN O O
. . O O
recent JJ O O
call NN O O
was VBD O O
Bank NNP O O
here RB O O
is VBZ O O
credit NN O O
card NN O O
details NNS O O
"3491 5903 4616 148" CRE O MSK
caller NN O O
stated VBD O O
name NN O O
Andy NNP O O
REPORTING NN O O
FRAUD NNP O O
ON NNP O O
THE NNP O O
number NN O O
linked VBN O O
with IN O O
Driving VBG O O
license NN O O
No NNP O O
2791090 DIL O MSK
SSN NNP O O
495-40-5383 SSN O MSK
. . O O

immediately RB O O
contacted VBD O O
Honda NNP O O
y NN O O
said VBD O O
made VBD O O
mistake NN O O
sent VBD O O
incorrect JJ O O
statement NN O O
that IN O O
owe VBP O O
. . O O
submitted VBD O O
complaint NN O O
with IN O O
credit NN O O
card NN O O
number NN O O
"4532 5280 4177 9942" CRE O MSK
. . O O

ACCURATE NNP O O
performed VBD O O
background NN O O
check NN O O
on IN O O
for IN O O
clearance NN O O
enter VB O O
building NN O O
owned VBN O O
by IN O O
XXXX NN O O
where WRB O O
new JJ O O
XXXX NNP O O
offices NNS O O
will MD O O
be VB O O
housed VBN O O
. . O O
indicates VBZ O O
that IN O O
have VBP O O
AKA NNP O O
of IN O O
which WDT O O
is VBZ O O
incorrect JJ O O
name NN O O
has VBZ O O
showed VBN O O
past JJ O O
credit NN O O
reports.REPORTING NN O O
FRAUD NNP O O
ON NNP O O
T NNP O O
HE NNP O O
credit NN O O
card NN O O
"4060 3092 3668 5271" CRE O MSK
linked VBN O O
with IN O O
details NNS O O
Driving VBG O O
license NN O O
xpk8vi NN O O
last JJ O O
digit JJ O O
. . O O

've VBP O O
been VBN O O
denied VBN O O
multiple JJ O O
times NNS O O
forvmy JJ O O
personal JJ O O
loan NN O O
when WRB O O
is VBZ O O
names NNS O O
on IN O O
social JJ O O
security NN O O
number NN O O
421-50-1033 SSN O MSK
. . O O
. . O O

Federal JJ O O
fraud NN O O
due JJ O O
clerical JJ O O
error NN O O
Equifax NNP O O
data NNS O O
breach NN O O
. . O O
submitted VBD O O
complaint NN O O
with IN O O
credit NN O O
card NN O O
number NN O O
"5244 9872 4881 2391" CRE O MSK
. . O O

Equifax NN O O
does VBZ O O
not RB O O
employ VB O O
Americans NNPS O O
forces NNS O O
give VB O O
personal JJ O O
info NN O O
people NNS O O
in IN O O
XXXX NNP O O
XXXX.I NNP O O
am VBP O O
victim NN O O
of IN O O
identity NN O O
theft NN O O
cards NNS O O
credit NN O O
card NN O O
number NN O O
"3705 2814 6083 094" CRE O MSK
SSN NNP O O
215-56-5065 SSN O MSK
Driving VBG O O
license NN O O
3518432 DIL O MSK
. . O O
. . O O

purchased VBD O O
home NN O O
using VBG O O
credit NN O O
card NN O O
number NN O O
"3796 1973 2631 619" CRE O MSK
. . O O

On IN O O
XXXX NNP O O
Bank NNP O O
of IN O O
America NNP O O
allowed VBD O O
check NN O O
with IN O O
name NN O O
XXXX JJ O O
former JJ O O
roommates NNS O O
names RB O O
be VB O O
cashed VBN O O
without IN O O
endorsement NN O O
from IN O O
. . O O
has VBZ O O
charged VBN O O
account NN O O
overdraft NN O O
fee NN O O
when WRB O O
was VBD O O
incident NN O O
Attached NNP O O
is VBZ O O
Checking NNP O O
Account NNP O O
history NN O O
credit NN O O
card NN O O
number NN O O
"4532 5280 4177 9942" CRE O MSK
Driving NNP O O
license NN O O
3508141 DIL O MSK
SSN NNP O O
. . O O

Now RB O O
i VBZ O O
do VBP O O
n't RB O O
qualify VB O O
for IN O O
home NN O O
loan NN O O
'm VBP O O
losing VBG O O
payment NN O O
on IN O O
new JJ O O
house NN O O
because IN O O
of IN O O
! . O O
Please NNP O O
help VB O O
. . O O
am VBP O O
victim NN O O
identity NN O O
theft NN O O
cards NNS O O
credit NN O O
card NN O O
number NN O O
"4916 6172 9388 7267" CRE O MSK
SSN NNP O O
216-74-9889 SSN O MSK
Driving NNP O O
license NN O O
nn4egu NN O O
. . O O

applied VBD O O
for IN O O
repayment NN O O
assistance NN O O
was VBD O O
denied VBN O O
on IN O O
credit NN O O
card NN O O
number NN O O
"5255 8152 8173 8569" CRE O MSK
with IN O O
direction NN O O
options NNS O O
that WDT O O
could MD O O
be VB O O
available JJ O O
details NNS O O
have VBP O O
provided VBN O O
Driving VBG O O
license NN O O
SSN NNP O O
254-28-1272 SSN O MSK
. . O O
. . O O

REPORTING NN O O
STUDENT NNP O O
LOAN NNP O O
WHILE NNP O O
OF NNP O O
DEFERRMENT NNP O O
DUE NNP O O
TO NNP O O
MILIRARY NNP O O
SERVICE NNP O O
. . O O
whom WP O O
may MD O O
concern NN O O
hello VB O O
name NN O O
is VBZ O O
RILEY NNP O O
PHILIPS NNP O O
. . O O

Im NNP O O
resident NN O O
in IN O O
CL NNP O O
with IN O O
CC NNP O O
details NNS O O
"4929 3214 1540 1272" CRE O MSK
Driving NNP O O
license NN O O
is VBZ O O
Driving VBG O O
license JJ O O
2172393 DIL O MSK
SSN NNP O O
551-97-0802 SSN O MSK
apply VBP O O
loan NN O O
which WDT O O
rejected VBD O O
many JJ O O
times NNS O O
. . O O
. . O O

MThese JJ O O
accounts NNS O O
severely RB O O
impact VB O O
credit NN O O
are VBP O O
causing VBG O O
more JJR O O
hardship.Fed NNS O O
up IN O O
with IN O O
card NN O O
number NN O O
"3756 7755 9672 003" CRE O MSK
charging VBG O O
excess JJ O O
overdraft NN O O
fees NNS O O
. . O O

have VBP O O
sent VBN O O
numerous JJ O O
of IN O O
letter NN O O
for IN O O
company NN O O
validate VB O O
bankruptcy NN O O
on IN O O
credit NN O O
report NN O O
with IN O O
followung NN O O
details NNS O O
card NN O O
number NN O O
"4532 6091 2809 8917" CRE O MSK
Driving NNP O O
license NN O O
3075816 DIL O MSK
SSN NNP O O
130-22-5159 SSN O MSK
. . O O

should MD O O
n't RB O O
need VB O O
do VB O O
there RB O O
job NN O O
for IN O O
that IN O O
was VBD O O
remove VB O O
. . O O
Fed NNP O O
with IN O O
credit NN O O
card NN O O
number NN O O
"5460 8297 9958 3046" CRE O MSK
charging VBG O O
excess NN O O
overdraft NN O O
fees.I NN O O
will MD O O
list VB O O
inquires NNS O O
at IN O O
bottom NN O O
that WDT O O
where WRB O O
not RB O O
done VBN O O
by IN O O
shame VB O O
on IN O O
transunion NN O O
XXXX NN O O
trying VBG O O
ruin VB O O
credit. NN O O
. . O O

Type NNP O O
Bank NNP O O
Credit NNP O O
Cards NNP O O
"3783 1291 9756 315" CRE O MSK
Phone NNP O O
Number NNP O O
BYMAIL NNP O O
ONLY NNP O O
Address NNP O O
Date NNP O O
Filed VBD O O
XX/XX/XXXX NNP O O
All NNP O O
Banks NNP O O
non VBD O O
specific JJ O O
"3790 0572 9661 027" CRE O MSK
. . O O

Revolving VBG O O
Negative JJ O O
XXXX NNP O O
. . O O
have VBP O O
issue NN O O
with IN O O
credit NN O O
card NN O O
which WDT O O
was VBD O O
nopt RB O O
resolved VBN O O
after IN O O
numerous JJ O O
calls NNS O O
Please NNP O O
find VBP O O
whole JJ O O
details NNS O O
of IN O O
number NN O O
"4532 1131 7815 5339" CRE O MSK
Driving VBG O O
license NN O O
SSN NNP O O
431-21-3883 SSN O MSK
. . O O

REPORTING NN O O
FRAUD NNP O O
ON NNP O O
THE NNP O O
credit NN O O
card NN O O
number NN O O
"5551 9828 5006 3117" CRE O MSK
. . O O

linked VBN O O
with IN O O
details NNS O O
Driving VBG O O
license NN O O
7875089 DIL O MSK
SSN NNP O O
546-02-9906 SSN O MSK
. . O O
. . O O

contacted VBD O O
stated VBD O O
were VBD O O
law NN O O
firm NN O O
collecting VBG O O
debt NN O O
for IN O O
"4948 1011 3298 8729" CRE O MSK
was VBD O O
judgement NN O O
entered VBN O O
against IN O O
in IN O O
amount NN O O
of IN O O
. . O O
. . O O

call VBP O O
from IN O O
spec NN O O
ific NN O O
number NN O O
do VBP O O
n't RB O O
answer VB O O
Seconds NNP O O
minutes NNS O O
later RB O O
again RB O O
using VBG O O
different JJ O O
phone NN O O
call NN O O
ID NNP O O
says VBZ O O
same JJ O O
company NN O O
. . O O
have VB O O
debts NNS O O
in IN O O
collections.I NN O O
have VBP O O
contacted VBN O O
on IN O O
several JJ O O
occassions NNS O O
regards NNS O O
inquiries NNS O O
card NN O O
credit NN O O
"3713 9499 1646 090" CRE O MSK
. . O O

Re NNP O O
questing VBG O O
monthly JJ O O
mortgage NN O O
statements NNS O O
begin VB O O
again RB O O
. . O O
As IN O O
of IN O O
now RB O O
received VBN O O
story NN O O
as RB O O
well RB O O
people NNS O O
change VB O O
ever RB O O
time NN O O
call VBP O O
am VBP O O
attaching VBG O O
required VBN O O
details NNS O O
credit NN O O
card NN O O
number NN O O
"4716 2106 7180 1423" CRE O MSK
Driving NNP O O
license NN O O
b3z23w NN O O
SSN NNP O O
768-46-9156 SSN O MSK
. . O O

can MD O O
not RB O O
fix VB O O
corporate JJ O O
problem NN O O
so IN O O
called VBD O O
for IN O O
XXXX NNP O O
of IN O O
Prosperity NNP O O
Bank NNP O O
was VBD O O
told VBN O O
in IN O O
Loan NNP O O
Committee NNP O O
meeting NN O O
XXXX NN O O
secretary NN O O
would MD O O
pass VB O O
message NN O O
along RB O O
have VBP O O
return VB O O
call NN O O
which WDT O O
has VBZ O O
done VBN O O
date NN O O
. . O O
regularly RB O O
use VBP O O
MasterCard NNP O O
credit NN O O
card NN O O
number NN O O
"5398 5431 9481 7704" CRE O MSK
. . O O

purchased VBD O O
house NN O O
using VBG O O
credit NN O O
card NN O O
number NN O O
"4929 4120 8173 0175" CRE O MSK
. . O O
. . O O

am VBP O O
wanting VBG O O
see VB O O
complet NN O O
e NN O O
audit NN O O
trail NN O O
of IN O O
account NN O O
from IN O O
conc NN O O
eption NN O O
. . O O
Failure NN O O
substantiate VB O O
claim NN O O
please VB O O
settle VB O O
immediately RB O O
within IN O O
next JJ O O
days NNS O O
have VBP O O
attached VBN O O
required JJ O O
copies NNS O O
credit NN O O
card NN O O
number NN O O
"3760 9375 0733 603" CRE O MSK
Driving NNP O O
license NN O O
mrsijw NN O O
SSN NNP O O
Sincerely RB O O
XXXX NNP O O
. . O O

want VBP O O
change VB O O
address NN O O
other JJ O O
details NNS O O
linked VBN O O
credit NN O O
card NN O O
number NN O O
"5168 6836 2091 9480" CRE O MSK
with IN O O
as IN O O
have VBP O O
moved VBN O O
new JJ O O
town.Over VB O O
phone NN O O
Unknown NNP O O
account NN O O
appeared VBD O O
on IN O O
report NN O O
under IN O O
SSN NNP O O
137-96-7370 SSN O MSK
Driving NNP O O
license NN O O
. . O O

payments NNS O O
are VBP O O
in IN O O
suspended JJ O O
status.I NN O O
made VBD O O
payment NN O O
that IN O O
did VBD O O
not RB O O
credit NN O O
account NN O O
Credit NNP O O
card NN O O
number NN O O
negative JJ O O
action NN O O
taken VBN O O
by IN O O
XXXX NNP O O
is VBZ O O
negatively RB O O
affecting VBG O O
score NN O O
potentially RB O O
keeping VBG O O
from IN O O
being VBG O O
higher JJR O O
. . O O
. . O O

requested VBD O O
quotes NNS O O
from IN O O
insurance NN O O
carriers NNS O O
. . O O
When WRB O O
asked VBD O O
if IN O O
had VBD O O
violations NNS O O
accidents NNS O O
in IN O O
last JJ O O
years NNS O O
respo VBP O O
nded JJ O O
However RB O O
once RB O O
obtained VBD O O
copy NN O O
of IN O O
driving NN O O
record NN O O
was VBD O O
quoted VBN O O
higher JJR O O
premiums NNS O O
as IN O O
result NN O O
inaccurate JJ O O
reporting NN O O
are VBP O O
details NNS O O
credit NN O O
card NN O O
number NN O O
"5503 5228 0069 7652" CRE O MSK
Driving VBG O O
license NN O O
7662793 DIL O MSK
SSN NNP O O
593-07-8753 SSN O MSK
. . O O

When WRB O O
asked VBN O O
if IN O O
had VBD O O
violations NNS O O
accidents NNS O O
in IN O O
last JJ O O
years NNS O O
responded VBD O O
. . O O
However RB O O
once RB O O
obtained VBD O O
copy NN O O
of IN O O
driving NN O O
record NN O O
was VBD O O
quoted VBN O O
higher JJR O O
premiums NNS O O
as IN O O
result NN O O
inaccurate JJ O O
reporting NN O O
am VBP O O
attaching VBG O O
required VBN O O
details NNS O O
credit NN O O
card NN O O
number NN O O
"5522 3560 0322 0005" CRE O MSK
. . O O

Driving VBG O O
license NN O O
SSN NNP O O
493-70-9001 SSN O MSK
. . O O
. . O O

are VBP O O
x JJ O O
accounts NNS O O
listed VBN O O
which WDT O O
do VBP O O
not RB O O
belong VB O O
credit NN O O
card NN O O
number NN O O
"4430 1598 5020 2793" CRE O MSK
"4024 0071 1826 8233" CRE O MSK
SSN NNP O O
260-75-5247 SSN O MSK
Driving NNP O O
license NN O O
vqiwbg NN O O
. . O O
. . O O

Please NNP O O
reslove VB O O
issue NN O O
details NNS O O
are VBP O O
Driving VBG O O
license NN O O
2815575 DIL O MSK
SSN NNP O O
529-41-8450 SSN O MSK
. . O O
. . O O

Unknown JJ O O
account NN O O
appeared VBD O O
on IN O O
credit NN O O
report NN O O
card NN O O
number NN O O
"3712 9074 9651 202" CRE O MSK
under IN O O
SSN NNP O O
613-67-6885 SSN O MSK
Driving NNP O O
license NN O O
hzklh6 NN O O
. . O O
. . O O

asked VBD O O
if IN O O
had VBD O O
had VBN O O
specific JJ O O
NSF NNP O O
fee NN O O
refunded VBD O O
in IN O O
last JJ O O
year NN O O
else RB O O
specifically RB O O
why WRB O O
could MD O O
not RB O O
be VB O O
refunded VBN O O
ridiculously RB O O
high JJ O O
fee NN O O
. . O O
was VBD O O
given VBN O O
so RB O O
am VBP O O
filing VBG O O
complaint NN O O
submitted VBD O O
with IN O O
credit NN O O
card NN O O
number NN O O
"5192 2885 6444 2372" CRE O MSK
. . O O

have VBP O O
sent VBN O O
numerous JJ O O
of IN O O
letter NN O O
for IN O O
company NN O O
validate VB O O
bankruptcy NN O O
on IN O O
credit NN O O
report NN O O
with IN O O
following VBG O O
details NNS O O
card NN O O
number NN O O
"4024 0071 0030 9888" CRE O MSK
Driving NNP O O
license NN O O
SSN NNP O O
that IN O O
date NN O O
default NN O O
is VBZ O O
. . O O

company NN O O
has VBZ O O
never RB O O
reached VBN O O
collect VB O O
type NN O O
of IN O O
debt NN O O
. . O O
looked VBD O O
on IN O O
XXXX JJ O O
